Date	logreturn
29-Jan-96	2.9485
5-Feb-96	2.0760
12-Feb-96	-0.3560
20-Feb-96	2.4525
26-Feb-96	-2.8779
4-Mar-96	-2.0793
11-Mar-96	3.3156
18-Mar-96	0.2389
25-Mar-96	-0.0744
1-Apr-96	1.5147
8-Apr-96	-1.5565
15-Apr-96	3.3723
22-Apr-96	4.1449
29-Apr-96	-0.1931
6-May-96	1.5214
13-May-96	3.2007
20-May-96	0.4756
28-May-96	-0.3508
3-Jun-96	-1.1055
10-Jun-96	-1.3574
17-Jun-96	-3.1602
24-Jun-96	0.8117
1-Jul-96	-2.2763
8-Jul-96	-4.8519
15-Jul-96	-0.5279
22-Jul-96	-1.6756
29-Jul-96	4.1270
5-Aug-96	1.0919
12-Aug-96	-0.3188
19-Aug-96	0.8258
26-Aug-96	-0.1357
3-Sep-96	-0.1850
9-Sep-96	4.2342
16-Sep-96	2.5762
23-Sep-96	0.8458
30-Sep-96	1.4135
7-Oct-96	0.0569
14-Oct-96	-0.4649
21-Oct-96	-1.6130
28-Oct-96	-0.0671
4-Nov-96	2.8825
11-Nov-96	0.3406
18-Nov-96	0.9905
25-Nov-96	1.4219
2-Dec-96	-0.3821
9-Dec-96	-0.2153
16-Dec-96	0.2837
23-Dec-96	0.2186
30-Dec-96	1.4835
6-Jan-97	1.6151
13-Jan-97	1.2704
20-Jan-97	1.0896
27-Jan-97	1.1678
3-Feb-97	-1.6175
10-Feb-97	0.6958
18-Feb-97	-2.4336
24-Feb-97	-1.9158
3-Mar-97	0.2137
10-Mar-97	-1.4458
17-Mar-97	-3.0548
24-Mar-97	-0.3643
31-Mar-97	-1.0281
7-Apr-97	-2.4416
14-Apr-97	1.2900
21-Apr-97	-1.0922
28-Apr-97	7.6422
5-May-97	2.2513
12-May-97	0.4245
19-May-97	3.5888
27-May-97	0.7598
2-Jun-97	0.3223
9-Jun-97	1.2865
16-Jun-97	1.6773
23-Jun-97	-0.6204
30-Jun-97	2.0278
7-Jul-97	2.3575
14-Jul-97	2.9747
21-Jul-97	1.3851
28-Jul-97	1.5646
4-Aug-97	0.2625
11-Aug-97	-2.3092
18-Aug-97	2.3198
25-Aug-97	-0.7137
2-Sep-97	3.0067
8-Sep-97	0.8256
15-Sep-97	1.8639
22-Sep-97	0.1118
29-Sep-97	1.9794
6-Oct-97	1.3407
13-Oct-97	-4.2392
20-Oct-97	-0.9603
27-Oct-97	-3.5331
3-Nov-97	0.5501
10-Nov-97	-1.1859
17-Nov-97	2.3245
24-Nov-97	-1.2542
1-Dec-97	2.0622
8-Dec-97	-6.1411
15-Dec-97	-0.7735
22-Dec-97	-0.8801
29-Dec-97	4.5370
5-Jan-98	-5.0783
12-Jan-98	3.8921
20-Jan-98	0.8315
26-Jan-98	2.7185
2-Feb-98	4.5268
9-Feb-98	0.9440
17-Feb-98	1.0301
23-Feb-98	2.4228
2-Mar-98	-0.9660
9-Mar-98	1.0309
16-Mar-98	0.9829
23-Mar-98	1.9077
30-Mar-98	1.7277
6-Apr-98	-1.9132
13-Apr-98	2.5150
20-Apr-98	0.1264
27-Apr-98	0.2394
4-May-98	-0.4853
11-May-98	-0.9485
18-May-98	-2.2878
26-May-98	-1.4582
1-Jun-98	0.2274
8-Jun-98	-2.1469
15-Jun-98	2.0555
22-Jun-98	4.8349
29-Jun-98	1.3004
6-Jul-98	2.5563
13-Jul-98	3.3264
20-Jul-98	-3.9485
27-Jul-98	-3.0817
3-Aug-98	-1.3778
10-Aug-98	-3.1116
17-Aug-98	0.4136
24-Aug-98	-9.1957
31-Aug-98	-4.5645
8-Sep-98	4.6839
14-Sep-98	1.3390
21-Sep-98	4.6860
28-Sep-98	-7.6624
5-Oct-98	-7.8877
12-Oct-98	8.2567
19-Oct-98	4.3998
26-Oct-98	4.4755
2-Nov-98	4.6961
9-Nov-98	-0.4627
16-Nov-98	4.2494
23-Nov-98	4.4741
30-Nov-98	-0.6608
7-Dec-98	1.2970
14-Dec-98	2.7620
21-Dec-98	3.6199
28-Dec-98	1.3614
4-Jan-99	6.6905
11-Jan-99	0.1615
19-Jan-99	-0.3977
25-Jan-99	6.8972
1-Feb-99	-5.4228
8-Feb-99	-2.2035
16-Feb-99	-1.6628
22-Feb-99	0.1938
1-Mar-99	2.1224
8-Mar-99	1.8828
15-Mar-99	1.6549
22-Mar-99	-0.0868
29-Mar-99	3.0211
5-Apr-99	3.9200
12-Apr-99	-4.2949
19-Apr-99	4.2038
26-Apr-99	-1.8635
3-May-99	-1.5552
10-May-99	0.9635
17-May-99	-0.3059
24-May-99	-1.9886
1-Jun-99	0.3160
7-Jun-99	-1.2367
14-Jun-99	4.6128
21-Jun-99	-0.4218
28-Jun-99	7.1198
6-Jul-99	1.8811
12-Jul-99	2.5245
19-Jul-99	-6.1954
26-Jul-99	-2.0226
2-Aug-99	-3.4910
9-Aug-99	3.4652
16-Aug-99	0.3980
23-Aug-99	4.0903
30-Aug-99	3.0066
7-Sep-99	1.5340
13-Sep-99	-0.6059
20-Sep-99	-4.6072
27-Sep-99	-0.1300
4-Oct-99	5.3261
